"Internal - All"
"Original Url","Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","Size","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.codecademy.com/catalog/language/html-css","https://www.codecademy.com/catalog/language/html-css","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","HTML & CSS","10","","0","Skill Paths","11","","0","","","","","","107179","161","1.0553524","0","","36","18","85.71","59","36","3","3","1baf4b5263d9a3b757a9df1372b1dc7a","2.102","","","","https://www.codecademy.com/catalog/language/html-css"
"https://www.codecademy.com/catalog/language/python","https://www.codecademy.com/catalog/language/python","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","Python","6","","0","Skill Paths","11","","0","","","","","","113213","203","1.3197414","0","","36","18","85.71","62","39","3","3","bf48cfa3902fcd068b46fe0b3d6a820b","0.527","","","","https://www.codecademy.com/catalog/language/python"
"https://www.codecademy.com/catalog/language/javascript","https://www.codecademy.com/catalog/language/javascript","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","JavaScript","10","","0","Skill Paths","11","","0","","","","","","107286","160","1.1223072","0","","36","18","85.71","59","36","3","3","4a8e24fdbb71d3ff26c711ab433e5204","0.477","","","","https://www.codecademy.com/catalog/language/javascript"
"https://www.codecademy.com/catalog/language/java","https://www.codecademy.com/catalog/language/java","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","Java","4","","0","","0","","0","","","","","","103551","102","0.8015916","0","","36","18","85.71","57","35","3","3","8e928a0636e1297e701fa7bbbeb221f0","0.749","","","","https://www.codecademy.com/catalog/language/java"
"https://www.codecademy.com/catalog/language/sql","https://www.codecademy.com/catalog/language/sql","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","SQL","3","","0","Skill Paths","11","","0","","","","","","107238","172","1.1461238","0","","36","18","85.71","59","36","3","3","64fa9cbe1e514e6ac6d314c54b090916","1.103","","","","https://www.codecademy.com/catalog/language/sql"
"https://www.codecademy.com/catalog/language/bash","https://www.codecademy.com/catalog/language/bash","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","Bash/Shell","10","","0","","0","","0","","","","","","103620","117","0.86765176","0","","36","18","85.71","57","35","3","3","9ed65388f24797f0afe99049607212f8","0.498","","","","https://www.codecademy.com/catalog/language/bash"
"https://www.codecademy.com/catalog/language/ruby","https://www.codecademy.com/catalog/language/ruby","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","Ruby","4","","0","","0","","0","","","","","","103823","125","0.91315407","0","","36","18","85.71","57","35","3","3","ed6d776d6e57cdee15097c5d2f67876d","0.489","","","","https://www.codecademy.com/catalog/language/ruby"
"https://www.codecademy.com/catalog/language/c-plus-plus","https://www.codecademy.com/catalog/language/c-plus-plus","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","C++","3","","0","","0","","0","","","","","","103622","108","0.8290306","0","","36","18","85.71","57","35","3","3","80d1a8db27b92dfd78ea7142a64d9da6","1.902","","","","https://www.codecademy.com/catalog/language/c-plus-plus"
"https://www.codecademy.com/catalog/language/r","https://www.codecademy.com/catalog/language/r","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","R","1","","0","","0","","0","","","","","","103593","111","0.8283133","0","","36","18","85.71","57","35","3","3","5cbe07be13736d9b00fa3454706bed7e","0.469","","","","https://www.codecademy.com/catalog/language/r"
"https://www.codecademy.com/catalog/language/c-sharp","https://www.codecademy.com/catalog/language/c-sharp","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","C#","2","","0","","0","","0","","","","","","103597","113","0.8282653","0","","36","18","85.71","57","35","3","3","684a2a4c51e280f1191e2b258d645c3b","0.531","","","","https://www.codecademy.com/catalog/language/c-sharp"
"https://www.codecademy.com/catalog/language/php","https://www.codecademy.com/catalog/language/php","text/html; charset=utf-8","200","OK","Indexable","","Codecademy","10","106","Codecademy is the easiest way to learn how to code. It's interactive, fun, and you can do it with your friends.","111","632","","0","PHP","3","","0","","0","","0","","","","","","103588","111","0.840904","0","","36","18","85.71","57","35","3","3","827e28762a63d1ed3636c58b24c2640b","0.405","","","","https://www.codecademy.com/catalog/language/php"
